DATE,EUR_weighted_return,GBP_weighted_return,JPY_weighted_return,AUD_weighted_return,NZD_weighted_return,CAD_weighted_return,CHF_weighted_return,NOK_weighted_return,SEK_weighted_return,total_return,cumulative_return
2017-11,-2.8122318056702514e-77,-1.9994238252294925e-27,0.007522120600432605,2.595550788756851e-125,-1.7241816658594616e-41,-1.7127790709515352e-90,0.0013530560753484498,3.5841162430926775e-38,4.492945729287294e-44,0.008875176675781055,108.82550727242675
2017-12,-2.2245444475892923e-61,1.8089453838439466e-18,-0.0031644515782430142,5.652770075353886e-163,9.95615017226304e-40,8.858149106122826e-79,7.5964171814006536e-06,-8.69178921471747e-62,-3.629655728631921e-47,-0.003156855161061612,108.48196090813865
2018-01,-2.0512109933432535e-62,-1.1728636888932838e-18,0.03050137101122683,-9.627305728805934e-91,2.630467356256027e-68,5.593673179146984e-157,1.0260237464922646e-07,-7.1215086041173354e-62,-1.0830106633697807e-38,0.03050147361360148,111.79082057632999
2018-02,1.6796542747038033e-42,0.03139608143843601,3.094011346969782e-08,1.2764844199587807e-55,-5.5964846500430384e-145,1.3400600355790684e-115,-8.117871514659883e-18,2.2449709997241766e-26,6.604691285528263e-22,0.03139611237854947,115.30061774203472
2018-03,-1.0709205078699528e-54,-0.014640358758779271,1.1197510470547116e-05,5.740647101483226e-106,1.1173245651143509e-69,-2.256900542398098e-74,-0.0017623671085277705,-1.820538477604996e-34,2.156426577599282e-46,-0.016391528356836493,113.41066439675538
2018-04,5.8133662906461276e-61,0.018093060436280846,-9.539486406775475e-10,1.823985610357903e-246,-1.8996954037065427e-67,5.7092855832389734e-74,-0.0014846118749943927,2.8925262345348455e-36,1.5687522327928136e-62,0.01660844760733781,115.29423947450226
2018-05,3.191716606041306e-111,1.898025290680722e-15,4.161236689421706e-10,1.62325432513745e-101,-1.6906881027202082e-47,-4.4730351593541555e-86,0.0023757350708541783,5.081954517192166e-59,-9.19584179048295e-148,0.0023757354869797455,115.56814809066618
2018-06,-2.452633251074744e-97,5.944949538288353e-31,-1.7245150859452182e-08,-2.9861338693233037e-102,-4.0129375157540415e-40,-8.686541231061462e-75,-0.007739974786922602,-1.4119722742994536e-81,-6.677630639819318e-104,-0.007739992032073461,114.67365154528295
2018-07,-1.0991047343513666e-89,3.675364933245343e-39,-1.1830362140718424e-05,2.453130677459013e-71,8.553703279585585e-28,4.972780978164273e-63,-0.002174587984175333,8.767143163408477e-86,5.137621212016184e-76,-0.0021864183463160517,114.42292696970529
2018-08,-7.157939753049138e-81,1.1911769371799404e-46,0.000784276813803194,-4.5776498768374144e-69,-7.281912361014109e-28,-1.5999373930757646e-69,0.01665512612621948,4.811270592483555e-93,-7.462184920531992e-88,0.017439402940022674,116.41839449870676
2018-09,-1.7834048436850926e-67,-1.6423744858537698e-58,-0.024549439613309753,9.456224201214321e-48,-4.2971171341174465e-21,2.7540154626283064e-68,-0.0005424422371880286,-1.5790560369771954e-181,4.294656630288191e-53,-0.025091881850497783,113.49723789872057
2018-10,-1.3394733744272268e-65,1.2663522704132567e-60,0.004413233629558386,-1.133932467998537e-50,-7.554553881694919e-22,-2.3044721792625494e-81,-0.0001568170782034286,5.475667192447953e-87,-8.457856139094243e-70,0.004256416551354957,113.98032942064576
